"symbol","date","volume"
"DOGE","2017-04-25",1498410
"DOGE","2017-04-26",1349140
"DOGE","2017-04-27",4707330
"DOGE","2017-04-28",4437500
"DOGE","2017-04-29",5870990
"DOGE","2017-04-30",3614180
"DOGE","2017-05-01",5565600
"DOGE","2017-05-02",5211860
"DOGE","2017-05-03",4436450
"DOGE","2017-05-04",4638240
"DOGE","2017-05-05",9754900
"DOGE","2017-05-06",14651900
"DOGE","2017-05-07",34856400
"DOGE","2017-05-08",23381600
"DOGE","2017-05-09",18473100
"DOGE","2017-05-10",9734520
"DOGE","2017-05-11",7417150
"DOGE","2017-05-12",6218670
"DOGE","2017-05-13",5599360
"DOGE","2017-05-14",4752270
"DOGE","2017-05-15",5239470
"DOGE","2017-05-16",7799600
"DOGE","2017-05-17",19914100
"DOGE","2017-05-18",30426900
"DOGE","2017-05-19",15752100
"DOGE","2017-05-20",23947700
"DOGE","2017-05-21",105483000
"DOGE","2017-05-22",122287000
"DOGE","2017-05-23",69025696
"DOGE","2017-05-24",55427800
"DOGE","2017-05-25",47384900
"DOGE","2017-05-26",32173900
"DOGE","2017-05-27",51605800
"DOGE","2017-05-28",34751700
"DOGE","2017-05-29",19870300
"DOGE","2017-05-30",22734100
"DOGE","2017-05-31",19840600
"DOGE","2017-06-01",23980700
"DOGE","2017-06-02",34663300
"DOGE","2017-06-03",40595200
"DOGE","2017-06-04",47092000
"DOGE","2017-06-05",53883800
"DOGE","2017-06-06",44359200
"DOGE","2017-06-07",29591900
"DOGE","2017-06-08",30213200
"DOGE","2017-06-09",25259700
"DOGE","2017-06-10",22219500
"DOGE","2017-06-11",40179500
"DOGE","2017-06-12",20308300
"DOGE","2017-06-13",15386000
"DOGE","2017-06-14",14116100
"DOGE","2017-06-15",15751600
"DOGE","2017-06-16",13983500
"DOGE","2017-06-17",16275900
"DOGE","2017-06-18",9348420
"DOGE","2017-06-19",12364900
"DOGE","2017-06-20",15050400
"DOGE","2017-06-21",14635800
"DOGE","2017-06-22",9515860
"DOGE","2017-06-23",9479750
"DOGE","2017-06-24",12055500
"DOGE","2017-06-25",25808000
"DOGE","2017-06-26",19984800
"DOGE","2017-06-27",16548800
"DOGE","2017-06-28",9713640
"DOGE","2017-06-29",6596660
"DOGE","2017-06-30",4828560
"DOGE","2017-07-01",5623250
"DOGE","2017-07-02",6310430
"DOGE","2017-07-03",7488410
"DOGE","2017-07-04",5302360
"DOGE","2017-07-05",17293700
"DOGE","2017-07-06",10702300
"DOGE","2017-07-07",7367710
"DOGE","2017-07-08",8176760
"DOGE","2017-07-09",4122620
"DOGE","2017-07-10",7350820
"DOGE","2017-07-11",9803180
"DOGE","2017-07-12",9627830
"DOGE","2017-07-13",6931840
"DOGE","2017-07-14",3700410
"DOGE","2017-07-15",3788270
"DOGE","2017-07-16",4390690
"DOGE","2017-07-17",4765630
"DOGE","2017-07-18",10344200
"DOGE","2017-07-19",8549310
"DOGE","2017-07-20",7934090
"DOGE","2017-07-21",6889580
"DOGE","2017-07-22",6184110
"DOGE","2017-07-23",10407100
"DOGE","2017-07-24",3671250
"DOGE","2017-07-25",4078660
"DOGE","2017-07-26",3897040
"DOGE","2017-07-27",3369400
"DOGE","2017-07-28",4510970
"DOGE","2017-07-29",2728040
"DOGE","2017-07-30",2110290
"DOGE","2017-07-31",3841680
"DOGE","2017-08-01",4465920
"DOGE","2017-08-02",4626730
"DOGE","2017-08-03",3213770
"DOGE","2017-08-04",3828740
"DOGE","2017-08-05",8047780
"DOGE","2017-08-06",6541340
"DOGE","2017-08-07",5318800
"DOGE","2017-08-08",4784700
"DOGE","2017-08-09",4251240
"DOGE","2017-08-10",4006990
"DOGE","2017-08-11",5135210
"DOGE","2017-08-12",7282380
"DOGE","2017-08-13",4744330
"DOGE","2017-08-14",4321530
"DOGE","2017-08-15",7095620
"DOGE","2017-08-16",3874060
"DOGE","2017-08-17",3365590
"DOGE","2017-08-18",3190510
"DOGE","2017-08-19",3028000
"DOGE","2017-08-20",3050890
"DOGE","2017-08-21",3580650
"DOGE","2017-08-22",3645340
